2;2                                  0              
2;2                                  0              ;2                                                 
2;2                                  0              ;2                                                 ;2                    7                           5
2;2                                  0              ;2                                                 ;2                    7                           5
8142   77 70    1   9    4  39  64 7    8   61663 ;814762   7770    1       4 369  4     8   663     ;814762  7 7770    1       4  369  64     488   663;8142 3  77 70    1       4  39  64     85   61663 ;8142   77 70   1   9    4  39  64 7    8   61663  
814762   7770    1       4 369  4     8   663     ;814762  7 7770    1       4  369  64     488   663;8142 3  77 70    1       4  39  64     85   61663 ;8142   77 70   1   9    4  39  64 7    8   61663  ;814762   7770   1   3    4 369  4     8   663     
814762   7770    1       4 369  4     8   663     ;814762  7 7770    1       4  369  64     488   663;8142   77 70   1   9    4  39  64 7    8   61663  ;814762   7770   1   3    4 369  4     8   663     ;814762   7770    1       4 369  4     8   663     
814762   7770    1       4 369  4     8   663     ;8142   77 70   1   9    4  39  64 7    8   61663  ;814762   7770   1   3    4 369  4     8   663     ;814762   7770    1       4 369  4     8   663     ;814762   7770     1       4 369  4      8   663   
814762   7770    1       4 369  4     8   663     ;8142   77 70   1   9    4  39  64 7    8   61663  ;814762   7770   1   3    4 369  4     8   663     ;814762   7770     1       4 369  4      8   663   ;8145762    7770    1      8 4 369  4     8   663  
814762   7770    1       4 369  4     8   663     ;814762   7770   1   3    4 369  4     8   663     ;814762   7770     1       4 369  4      8   663   ;8145762    7770    1      8 4 369  4     8   663  ;814762   7770    1       4 369  4   5  8   663    
814762   7770   1   3    4 369  4     8   663     ;814762   7770     1       4 369  4      8   663   ;8145762    7770    1      8 4 369  4     8   663  ;814762   7770    1       4 369  4   5  8   663    ;814762   77702   1   3    4 369  4     8   663    
814762   7770   1   3    4 369  4     8   663     ;8145762    7770    1      8 4 369  4     8   663  ;814762   7770    1       4 369  4   5  8   663    ;814762   77702   1   3    4 369  4     8   663    ;814762   7770   11   3    4 369  4     8   663    
814762   7770   1   3    4 369  4     8   663     ;814762   7770    1       4 369  4   5  8   663    ;814762   77702   1   3    4 369  4     8   663    ;814762   7770   11   3    4 369  4     8   663    ;814762   7770   1   3    4 369  4     8   663     
814762   7770   1   3    4 369  4     8   663     ;814762   77702   1   3    4 369  4     8   663    ;814762   7770   11   3    4 369  4     8   663    ;814762   7770   1   3    4 369  4     8   663     ;8147 62   7770   13   3    4 369  4     8   663   
814762   7770   1   3    4 369  4     8   663     ;814762   77702   1   3    4 369  4     8   663    ;814762   7770   1   3    4 369  4     8   663     ;8147 62   7770   13   3    4 369  4     8   663   ;814762   7770   1   3    4 369  42 5    8   663   
814762   7770   1   3    4 369  4     8   663     ;814762   77702   1   3    4 369  4     8   663    ;8147 62   7770   13   3    4 369  4     8   663   ;814762   7770   1   3    4 369  42 5    8   663   ;814762   7770  1   3    4 369  4     89   663     
814762   77702   1   3    4 369  4     8   663    ;8147 62   7770   13   3    4 369  4     8   663   ;814762   7770   1   3    4 369  42 5    8   663   ;814762   7770  1   3    4 369  4     89   663     ;8 14762   77702   1   3    4 369   4     8   663  
8147 62   7770   13   3    4 369  4     8   663   ;814762   7770   1   3    4 369  42 5    8   663   ;814762   7770  1   3    4 369  4     89   663     ;8 14762   77702   1   3    4 369   4     8   663  ;8147 62   7770   13   3    4 369  4     8   663   
814762   7770   1   3    4 369  42 5    8   663   ;814762   7770  1   3    4 369  4     89   663     ;8 14762   77702   1   3    4 369   4     8   663  ;8147 62   7770   13   3    4 369  4     8   663   ;814762   7770    1   3     4 369  42 5       663  
814762   7770  1   3    4 369  4     89   663     ;8 14762   77702   1   3    4 369   4     8   663  ;8147 62   7770   13   3    4 369  4     8   663   ;814762   7770    1   3     4 369  42 5       663  ;814762   77770  1   3    45 369  4      89   663  
814762   7770  1   3    4 369  4     89   663     ;8147 62   7770   13   3    4 369  4     8   663   ;814762   7770    1   3     4 369  42 5       663  ;814762   77770  1   3    45 369  4      89   663  ;814762   7770  81 1  3    4 369  4     89   663   
814762   7770  1   3    4 369  4     89   663     ;814762   7770    1   3     4 369  42 5       663  ;814762   77770  1   3    45 369  4      89   663  ;814762   7770  81 1  3    4 369  4     89   663   ;814762  7770  1   3    4 369  4     89   663      
814762   7770  1   3    4 369  4     89   663     ;814762   7770    1   3     4 369  42 5       663  ;814762   77770  1   3    45 369  4      89   663  ;814762  7770  1   3    4 369  4     89   663      ;814762   7770 1   03    4 369  4     869   663    
814762   7770  1   3    4 369  4     89   663     ;814762   77770  1   3    45 369  4      89   663  ;814762  7770  1   3    4 369  4     89   663      ;814762   7770 1   03    4 369  4     869   663    ;814762   7770  1   3    4 369  4      89   663    
814762   7770  1   3    4 369  4     89   663     ;814762  7770  1   3    4 369  4     89   663      ;814762   7770 1   03    4 369  4     869   663    ;814762   7770  1   3    4 369  4      89   663    ;8141762   7770  1   3    4 369  4      89   663   
814762   7770  1   3    4 369  4     89   663     ;814762  7770  1   3    4 369  4     89   663      ;814762   7770  1   3    4 369  4      89   663    ;8141762   7770  1   3    4 369  4      89   663   ;814762   7770  1    3  4  4 369  4     89   663   
814762  7770  1   3    4 369  4     89   663      ;814762   7770  1   3    4 369  4      89   663    ;8141762   7770  1   3    4 369  4      89   663   ;814762   7770  1    3  4  4 369  4     89   663   ;814762  7770  1   3    4 369  4     89   663      
814762  7770  1   3    4 369  4     89   663      ;814762   7770  1   3    4 369  4      89   663    ;8141762   7770  1   3    4 369  4      89   663   ;814762  7770  1   3    4 369  4     89   663      ;814762  7770  1   3    4 369 4     89   663       
814762  7770  1   3    4 369  4     89   663      ;8141762   7770  1   3    4 369  4      89   663   ;814762  7770  1   3    4 369  4     89   663      ;814762  7770  1   3    4 369 4     89   663       ;814762  7770  1   3    4 369  4     89   663      
814762  7770  1   3    4 369  4     89   663      ;8141762   7770  1   3    4 369  4      89   663   ;814762  7770  1   3    4 369  4     89   663      ;814762  7770  1   3    4 369 4     89   663       ;14762  7770  1       4 369  4     89   663        
814762  7770  1   3    4 369  4     89   663      ;8141762   7770  1   3    4 369  4      89   663   ;814762  7770  1   3    4 369  4     89   663      ;14762  7770  1       4 369  4     89   663        ;814762  747770  1       4 369  4     89   663     
814762  7770  1   3    4 369  4     89   663      ;8141762   7770  1   3    4 369  4      89   663   ;814762  7770  1   3    4 369  4     89   663      ;814762  747770  1       4 369  4     89   663     ;814762  7770  1   36    4 369  4     89   663     
814762  7770  1   3    4 369  4     89   663      ;8141762   7770  1   3    4 369  4      89   663   ;814762  747770  1       4 369  4     89   663     ;814762  7770  1   36    4 369  4     89   663     ;814762  7770  1   3    4 369  4     89    663     
8141762   7770  1   3    4 369  4      89   663   ;814762  747770  1       4 369  4     89   663     ;814762  7770  1   36    4 369  4     89   663     ;814762  7770  1   3    4 369  4     89    663     ;8141762   7770  1   3 5   4 369  4      89   663  
8141762   7770  1   3    4 369  4      89   663   ;814762  7770  1   36    4 369  4     89   663     ;814762  7770  1   3    4 369  4     89    663     ;8141762   7770  1   3 5   4 369  4      89   663  ;8141762   7770  1  3    4 369  4      89   663    
814762  7770  1   36    4 369  4     89   663     ;814762  7770  1   3    4 369  4     89    663     ;8141762   7770  1   3 5   4 369  4      89   663  ;8141762   7770  1  3    4 369  4      89   663    ;814762  7770  1   36   2 4 369   4     89   663   
814762  7770  1   36    4 369  4     89   663     ;814762  7770  1   3    4 369  4     89    663     ;8141762   7770  1  3    4 369  4      89   663    ;814762  7770  1   36   2 4 369   4     89   663   ;84762  77770  1   36    4 369  4     89   663     
814762  7770  1   3    4 369  4     89    663     ;8141762   7770  1  3    4 369  4      89   663    ;814762  7770  1   36   2 4 369   4     89   663   ;84762  77770  1   36    4 369  4     89   663     ;814762  7770  1   3    4 369  4     89    663     
814762  7770  1   3    4 369  4     89    663     ;814762  7770  1   36   2 4 369   4     89   663   ;84762  77770  1   36    4 369  4     89   663     ;814762  7770  1   3    4 369  4     89    663     ;814762  7770  1   3    4 369  4     89    663     
814762  7770  1   3    4 369  4     89    663     ;814762  7770  1   36   2 4 369   4     89   663   ;814762  7770  1   3    4 369  4     89    663     ;814762  7770  1   3    4 369  4     89    663     ;814762  7770  1   3    4 69  4     89    663      
814762  7770  1   3    4 369  4     89    663     ;814762  7770  1   3    4 369  4     89    663     ;814762  7770  1   3    4 369  4     89    663     ;814762  7770  1   3    4 69  4     89    663      ;814762  7770  1   3    4 369  4     89   663      
814762  7770  1   3    4 369  4     89    663     ;814762  7770  1   3    4 369  4     89    663     ;814762  7770  1   3    4 69  4     89    663      ;814762  7770  1   3    4 369  4     89   663      ;814762  7770 4 1   3    4 92369  4     89    663  
814762  7770  1   3    4 369  4     89    663     ;814762  7770  1   3    4 369  4     89    663     ;814762  7770  1   3    4 369  4     89   663      ;814762  7770 4 1   3    4 92369  4     89    663  ;814762  7770  1    3    4 369  4      89    663   
814762  7770  1   3    4 369  4     89    663     ;814762  7770  1   3    4 369  4     89    663     ;814762  7770  1   3    4 369  4     89   663      ;814762  7770  1    3    4 369  4      89    663   ;814762  7770  1   36    4 369  4     89    663    
814762  7770  1   3    4 369  4     89    663     ;814762  7770  1   3    4 369  4     89   663      ;814762  7770  1    3    4 369  4      89    663   ;814762  7770  1   36    4 369  4     89    663    ;814762  7770  1   3    4 1369   4     89    663   
814762  7770  1   3    4 369  4     89    663     ;814762  7770  1   3    4 369  4     89   663      ;814762  7770  1   36    4 369  4     89    663    ;814762  7770  1   3    4 1369   4     89    663   ;814762  7770  1   3    4 369  4      89    663    
814762  7770  1   3    4 369  4     89   663      ;814762  7770  1   36    4 369  4     89    663    ;814762  7770  1   3    4 1369   4     89    663   ;814762  7770  1   3    4 369  4      89    663    ;81476 2  7770  1   3    4 369  4     89   663     
814762  7770  1   3    4 369  4     89   663      ;814762  7770  1   36    4 369  4     89    663    ;814762  7770  1   3    4 1369   4     89    663   ;814762  7770  1   3    4 369  4      89    663    ;814762  7770  1  3    4 369  14     89   663      
814762  7770  1   3    4 369  4     89   663      ;814762  7770  1   3    4 1369   4     89    663   ;814762  7770  1   3    4 369  4      89    663    ;814762  7770  1  3    4 369  14     89   663      ;814762  770  1   3    4 369  4     89   663 6     
814762  7770  1   3    4 369  4     89   663      ;814762  7770  1   3    4 369  4      89    663    ;814762  7770  1  3    4 369  14     89   663      ;814762  770  1   3    4 369  4     89   663 6     ;814762  7770  1  0 3    4 369  4     89   663     
814762  7770  1   3    4 369  4      89    663    ;814762  7770  1  3    4 369  14     89   663      ;814762  770  1   3    4 369  4     89   663 6     ;814762  7770  1  0 3    4 369  4     89   663     ;814762  7770  1   3     4 369  4      8 9    663  
814762  7770  1   3    4 369  4      89    663    ;814762  770  1   3    4 369  4     89   663 6     ;814762  7770  1  0 3    4 369  4     89   663     ;814762  7770  1   3     4 369  4      8 9    663  ;3814762  7770  1   3    4 369  4      89    663   
814762  7770  1   3    4 369  4      89    663    ;814762  7770  1  0 3    4 369  4     89   663     ;814762  7770  1   3     4 369  4      8 9    663  ;3814762  7770  1   3    4 369  4      89    663   ;814762  7770  1  3    4 369  4     89    663      
814762  7770  1  0 3    4 369  4     89   663     ;814762  7770  1   3     4 369  4      8 9    663  ;3814762  7770  1   3    4 369  4      89    663   ;814762  7770  1  3    4 369  4     89    663      ;814762  7770  1  0 3    4 369  4     89   663     
814762  7770  1   3     4 369  4      8 9    663  ;3814762  7770  1   3    4 369  4      89    663   ;814762  7770  1  3    4 369  4     89    663      ;814762  7770  1  0 3    4 369  4     89   663     ;814762  27770  1   3     14 369  4      8 9    866
814762  7770  1   3     4 369  4      8 9    663  ;3814762  7770  1   3    4 369  4      89    663   ;814762  7770  1  0 3    4 369  4     89   663     ;814762  27770  1   3     14 369  4      8 9    866;814762  7770  1   3     4 369  4      8 9    663  
3814762  7770  1   3    4 369  4      89    663   ;814762  7770  1  0 3    4 369  4     89   663     ;814762  27770  1   3     14 369  4      8 9    866;814762  7770  1   3     4 369  4      8 9    663  ;3814762  7770  1   3 4   44 369  4      89    663 
3814762  7770  1   3    4 369  4      89    663   ;814762  7770  1  0 3    4 369  4     89   663     ;814762  27770  1   3     14 369  4      8 9    866;3814762  7770  1   3 4   44 369  4      89    663 ;3814762  7770  1    3    4 369  4      89    663  
814762  7770  1  0 3    4 369  4     89   663     ;814762  27770  1   3     14 369  4      8 9    866;3814762  7770  1   3 4   44 369  4      89    663 ;3814762  7770  1    3    4 369  4      89    663  ;8 14762  7770  1  0 3    4 369  4     89   663    
814762  27770  1   3     14 369  4      8 9    866;3814762  7770  1   3 4   44 369  4      89    663 ;3814762  7770  1    3    4 369  4      89    663  ;8 14762  7770  1  0 3    4 369  4     89   663    ;814762  27770  1   3     14 369  4      8 9    866
814762  27770  1   3     14 369  4      8 9    866;3814762  7770  1   3 4   44 369  4      89    663 ;8 14762  7770  1  0 3    4 369  4     89   663    ;814762  27770  1   3     14 369  4      8 9    866;814762  27770  1   3     14 369  4  5    8 9    86
814762  27770  1   3     14 369  4      8 9    866;3814762  7770  1   3 4   44 369  4      89    663 ;814762  27770  1   3     14 369  4      8 9    866;814762  27770  1   3     14 369  4  5    8 9    86;814762  27770  1   33     14 369  4      8 9    86
814762  27770  1   3     14 369  4      8 9    866;3814762  7770  1   3 4   44 369  4      89    663 ;814762  27770  1   3     14 369  4      8 9    866;814762  27770  1   3     14 369  4  5    8 9    86;814762  27770  1   3     14 369  4      98 9    86
3814762  7770  1   3 4   44 369  4      89    663 ;814762  27770  1   3     14 369  4      8 9    866;814762  27770  1   3     14 369  4  5    8 9    86;814762  27770  1   3     14 369  4      98 9    86;3814762  7770  1   3 4   44 369  4      89   663  
3814762  7770  1   3 4   44 369  4      89    663 ;814762  27770  1   3     14 369  4      8 9    866;814762  27770  1   3     14 369  4      98 9    86;3814762  7770  1   3 4   44 369  4      89   663  ;73814762  7770  1   3 4 4  44 369  4      89    66
814762  27770  1   3     14 369  4      8 9    866;814762  27770  1   3     14 369  4      98 9    86;3814762  7770  1   3 4   44 369  4      89   663  ;73814762  7770  1   3 4 4  44 369  4      89    66;814762  27770  1   3  9   14 369  4     8 9    866
814762  27770  1   3     14 369  4      98 9    86;3814762  7770  1   3 4   44 369  4      89   663  ;73814762  7770  1   3 4 4  44 369  4      89    66;814762  27770  1   3  9   14 369  4     8 9    866;814 762  27770  1   3     14 369  4       98 9   8
814762  27770  1   3     14 369  4      98 9    86;3814762  7770  1   3 4   44 369  4      89   663  ;73814762  7770  1   3 4 4  44 369  4      89    66;814 762  27770  1   3     14 369  4       98 9   8;814762  27770  1   3     14 369  4    0  98 9    8
814762  27770  1   3     14 369  4      98 9    86;3814762  7770  1   3 4   44 369  4      89   663  ;814 762  27770  1   3     14 369  4       98 9   8;814762  27770  1   3     14 369  4    0  98 9    8;8 14762  27770  1   3     14 369  4      98 9    8
3814762  7770  1   3 4   44 369  4      89   663  ;814 762  27770  1   3     14 369  4       98 9   8;814762  27770  1   3     14 369  4    0  98 9    8;8 14762  27770  1   3     14 369  4      98 9    8;3814762  7770  1   3 4   44 369  4      89   663  
814 762  27770  1   3     14 369  4       98 9   8;814762  27770  1   3     14 369  4    0  98 9    8;8 14762  27770  1   3     14 369  4      98 9    8;3814762  7770  1   3 4   44 369  4      89   663  ;8314 762  27770  1   3     14 369  4       98 9   
814 762  27770  1   3     14 369  4       98 9   8;814762  27770  1   3     14 369  4    0  98 9    8;3814762  7770  1   3 4   44 369  4      89   663  ;8314 762  27770  1   3     14 369  4       98 9   ;814 762  27770 1   3     14 369  4       8 9   8  
814 762  27770  1   3     14 369  4       98 9   8;814762  27770  1   3     14 369  4    0  98 9    8;3814762  7770  1   3 4   44 369  4      89   663  ;814 762  27770 1   3     14 369  4       8 9   8  ;8114  762  27770  1   3     14 369  4       98 9  
814 762  27770  1   3     14 369  4       98 9   8;814762  27770  1   3     14 369  4    0  98 9    8;814 762  27770 1   3     14 369  4       8 9   8  ;8114  762  27770  1   3     14 369  4       98 9  ;814 762  27770  1   3     14 369  4       98 9  5 
814762  27770  1   3     14 369  4    0  98 9    8;814 762  27770 1   3     14 369  4       8 9   8  ;8114  762  27770  1   3     14 369  4       98 9  ;814 762  27770  1   3     14 369  4       98 9  5 ;814762  27770  1   3     14  369  4    0  98 9    
814 762  27770 1   3     14 369  4       8 9   8  ;8114  762  27770  1   3     14 369  4       98 9  ;814 762  27770  1   3     14 369  4       98 9  5 ;814762  27770  1   3     14  369  4    0  98 9    ;814 762  23770 1   3     14 369  4       8 9   8  
814 762  27770 1   3     14 369  4       8 9   8  ;8114  762  27770  1   3     14 369  4       98 9  ;814 762  27770  1   3     14 369  4       98 9  5 ;814762  27770  1   3     14  369  4    0  98 9    ;814 762  27770 1 8  3     14 369  4       8 9   8 
8114  762  27770  1   3     14 369  4       98 9  ;814 762  27770  1   3     14 369  4       98 9  5 ;814762  27770  1   3     14  369  4    0  98 9    ;814 762  27770 1 8  3     14 369  4       8 9   8 ;8114  762  27770  1   3     14 3619  4       98 9 
814 762  27770  1   3     14 369  4       98 9  5 ;814762  27770  1   3     14  369  4    0  98 9    ;814 762  27770 1 8  3     14 369  4       8 9   8 ;8114  762  27770  1   3     14 3619  4       98 9 ;5814 762  277770  1   3     14 369  4       98 9  
814762  27770  1   3     14  369  4    0  98 9    ;814 762  27770 1 8  3     14 369  4       8 9   8 ;8114  762  27770  1   3     14 3619  4       98 9 ;5814 762  277770  1   3     14 369  4       98 9  ;814762  27770  1   23    14  369  4    0  98 9    
814 762  27770 1 8  3     14 369  4       8 9   8 ;8114  762  27770  1   3     14 3619  4       98 9 ;5814 762  277770  1   3     14 369  4       98 9  ;814762  27770  1   23    14  369  4    0  98 9    ;814 7620  27770 1 8  3     14 369  4       98 9   
814 762  27770 1 8  3     14 369  4       8 9   8 ;5814 762  277770  1   3     14 369  4       98 9  ;814762  27770  1   23    14  369  4    0  98 9    ;814 7620  27770 1 8  3     14 369  4       98 9   ;814 7762  27770 1 8  3     14 369  4       8 9   8
814 762  27770 1 8  3     14 369  4       8 9   8 ;814762  27770  1   23    14  369  4    0  98 9    ;814 7620  27770 1 8  3     14 369  4       98 9   ;814 7762  27770 1 8  3     14 369  4       8 9   8;814 7662  27770 1 8  3      14 369  4       8 9  3
814762  27770  1   23    14  369  4    0  98 9    ;814 7620  27770 1 8  3     14 369  4       98 9   ;814 7762  27770 1 8  3     14 369  4       8 9   8;814 7662  27770 1 8  3      14 369  4       8 9  3;814762  27770  1   23    14  369  4    0  98 9    
814 7620  27770 1 8  3     14 369  4       98 9   ;814 7762  27770 1 8  3     14 369  4       8 9   8;814 7662  27770 1 8  3      14 369  4       8 9  3;814762  27770  1   23    14  369  4    0  98 9    ;814 7620  277730 1 8  3     14 3699  4       98 9 
814 7620  27770 1 8  3     14 369  4       98 9   ;814 7662  27770 1 8  3      14 369  4       8 9  3;814762  27770  1   23    14  369  4    0  98 9    ;814 7620  277730 1 8  3     14 3699  4       98 9 ;814 7620  27770 1 8  30     14 3699  4       98 9 
814 7620  27770 1 8  3     14 369  4       98 9   ;814 7662  27770 1 8  3      14 369  4       8 9  3;814 7620  277730 1 8  3     14 3699  4       98 9 ;814 7620  27770 1 8  30     14 3699  4       98 9 ;814 7620  27770 1 8  3     14 369  4        98 9  
814 7620  27770 1 8  3     14 369  4       98 9   ;814 7620  277730 1 8  3     14 3699  4       98 9 ;814 7620  27770 1 8  30     14 3699  4       98 9 ;814 7620  27770 1 8  3     14 369  4        98 9  ;8146 7620  27770 1 8  3     14369  4      98 9    
814 7620  27770 1 8  3     14 369  4       98 9   ;814 7620  277730 1 8  3     14 3699  4       98 9 ;814 7620  27770 1 8  3     14 369  4        98 9  ;8146 7620  27770 1 8  3     14369  4      98 9    ;814 7620  27770  8  3     14 39  4       98 9     
814 7620  27770 1 8  3     14 369  4       98 9   ;814 7620  27770 1 8  3     14 369  4        98 9  ;8146 7620  27770 1 8  3     14369  4      98 9    ;814 7620  27770  8  3     14 39  4       98 9     ;814 762  27770 1 8  3     14 369  4       98 9    
814 7620  27770 1 8  3     14 369  4       98 9   ;814 7620  27770 1 8  3     14 369  4        98 9  ;814 7620  27770  8  3     14 39  4       98 9     ;814 762  27770 1 8  3     14 369  4       98 9    ;814 7620  2770 1  8  3     14 369  4       98 9   
814 7620  27770 1 8  3     14 369  4       98 9   ;814 7620  27770  8  3     14 39  4       98 9     ;814 762  27770 1 8  3     14 369  4       98 9    ;814 7620  2770 1  8  3     14 369  4       98 9   ;814 7620  27770 1 8  3     142 369  4       98 99 
814 7620  27770 1 8  3     14 369  4       98 9   ;814 7620  27770  8  3     14 39  4       98 9     ;814 7620  2770 1  8  3     14 369  4       98 9   ;814 7620  27770 1 8  3     142 369  4       98 99 ;814 720  27770 1 8  3    14 369  4       98 9  6  
814 7620  27770 1 8  3     14 369  4       98 9   ;814 7620  2770 1  8  3     14 369  4       98 9   ;814 7620  27770 1 8  3     142 369  4       98 99 ;814 720  27770 1 8  3    14 369  4       98 9  6  ;814 7620  27770 1 8  3     14 369  4        98 9  
814 7620  27770 1 8  3     14 369  4       98 9   ;814 7620  2770 1  8  3     14 369  4       98 9   ;814 720  27770 1 8  3    14 369  4       98 9  6  ;814 7620  27770 1 8  3     14 369  4        98 9  ;814 7620  27770 1 8  3   2  14 369  4       98 9  
814 7620  27770 1 8  3     14 369  4       98 9   ;814 720  27770 1 8  3    14 369  4       98 9  6  ;814 7620  27770 1 8  3     14 369  4        98 9  ;814 7620  27770 1 8  3   2  14 369  4       98 9  ;814 7620  27770 1 8  3     14 369  4        98 9  
814 720  27770 1 8  3    14 369  4       98 9  6  ;814 7620  27770 1 8  3     14 369  4        98 9  ;814 7620  27770 1 8  3   2  14 369  4       98 9  ;814 7620  27770 1 8  3     14 369  4        98 9  ;814 720  27770 1 8  3    14 3699  4       98 9  6 
814 720  27770 1 8  3    14 369  4       98 9  6  ;814 7620  27770 1 8  3     14 369  4        98 9  ;814 7620  27770 1 8  3     14 369  4        98 9  ;814 720  27770 1 8  3    14 3699  4       98 9  6 ;814 720  27770 1 8  3    14 369  4       98 92  6 
814 7620  27770 1 8  3     14 369  4        98 9  ;814 7620  27770 1 8  3     14 369  4        98 9  ;814 720  27770 1 8  3    14 3699  4       98 9  6 ;814 720  27770 1 8  3    14 369  4       98 92  6 ;814 7620  27770 1 8  3     14 369  4        98 99 
814 7620  27770 1 8  3     14 369  4        98 9  ;814 7620  27770 1 8  3     14 369  4        98 9  ;814 720  27770 1 8  3    14 369  4       98 92  6 ;814 7620  27770 1 8  3     14 369  4        98 99 ;814 7620  28770 1 8  3     14 369  4        98 9  
814 7620  27770 1 8  3     14 369  4        98 9  ;814 720  27770 1 8  3    14 369  4       98 92  6 ;814 7620  27770 1 8  3     14 369  4        98 99 ;814 7620  28770 1 8  3     14 369  4        98 9  ;814 76200 27770 1 8   3     14 369  4        98 9 
814 720  27770 1 8  3    14 369  4       98 92  6 ;814 7620  27770 1 8  3     14 369  4        98 99 ;814 7620  28770 1 8  3     14 369  4        98 9  ;814 76200 27770 1 8   3     14 369  4        98 9 ;814 720  27770 1 8      14 3629  4       98 92  6 
814 7620  27770 1 8  3     14 369  4        98 99 ;814 7620  28770 1 8  3     14 369  4        98 9  ;814 76200 27770 1 8   3     14 369  4        98 9 ;814 720  27770 1 8      14 3629  4       98 92  6 ;814 7620  27770 1 8  3 2 0   14 369  4        98 9
814 7620  27770 1 8  3     14 369  4        98 99 ;814 76200 27770 1 8   3     14 369  4        98 9 ;814 720  27770 1 8      14 3629  4       98 92  6 ;814 7620  27770 1 8  3 2 0   14 369  4        98 9;814 7620  27770 1 8  3     14 369  4        98 99 
814 76200 27770 1 8   3     14 369  4        98 9 ;814 720  27770 1 8      14 3629  4       98 92  6 ;814 7620  27770 1 8  3 2 0   14 369  4        98 9;814 7620  27770 1 8  3     14 369  4        98 99 ;814 76200 27770 1 8   3     14 369  4        98  9
814 76200 27770 1 8   3     14 369  4        98 9 ;814 720  27770 1 8      14 3629  4       98 92  6 ;814 7620  27770 1 8  3     14 369  4        98 99 ;814 76200 27770 1 8   3     14 369  4        98  9;8144 76200 27770 1 8   3     14 369  4        988 
814 76200 27770 1 8   3     14 369  4        98 9 ;814 7620  27770 1 8  3     14 369  4        98 99 ;814 76200 27770 1 8   3     14 369  4        98  9;8144 76200 27770 1 8   3     14 369  4        988 ;8174 76200 27770 1 8   3     14 369  4  5      98 
814 7620  27770 1 8  3     14 369  4        98 99 ;814 76200 27770 1 8   3     14 369  4        98  9;8144 76200 27770 1 8   3     14 369  4        988 ;8174 76200 27770 1 8   3     14 369  4  5      98 ;814 27620   27770 1 8  3     14 369  4        98 9
814 7620  27770 1 8  3     14 369  4        98 99 ;8144 76200 27770 1 8   3     14 369  4        988 ;8174 76200 27770 1 8   3     14 369  4  5      98 ;814 27620   27770 1 8  3     14 369  4        98 9;814 7620  27770 1 8  3     14 369  4        98 99 
814 7620  27770 1 8  3     14 369  4        98 99 ;8144 76200 27770 1 8   3     14 369  4        988 ;8174 76200 27770 1 8   3     14 369  4  5      98 ;814 7620  27770 1 8  3     14 369  4        98 99 ;814 7620  27770 1 8  3     14 369  4        98 99 
814 7620  27770 1 8  3     14 369  4        98 99 ;8144 76200 27770 1 8   3     14 369  4        988 ;814 7620  27770 1 8  3     14 369  4        98 99 ;814 7620  27770 1 8  3     14 369  4        98 99 ;814 7620  27770 1 8  3     14 369  4        98 99 
8144 76200 27770 1 8   3     14 369  4        988 ;814 7620  27770 1 8  3     14 369  4        98 99 ;814 7620  27770 1 8  3     14 369  4        98 99 ;814 7620  27770 1 8  3     14 369  4        98 99 ;8144 76200 27770 1 8   3     14 3649  4        988
8144 76200 27770 1 8   3     14 369  4        988 ;814 7620  27770 1 8  3     14 369  4        98 99 ;814 7620  27770 1 8  3     14 369  4        98 99 ;8144 76200 27770 1 8   3     14 3649  4        988;8144 76200 27770 1 8   3     14 369  4         988
8144 76200 27770 1 8   3     14 369  4        988 ;814 7620  27770 1 8  3     14 369  4        98 99 ;8144 76200 27770 1 8   3     14 3649  4        988;8144 76200 27770 1 8   3     14 369  4         988;8144 76200 7770  1 8   3     14 369  4        988 
814 7620  27770 1 8  3     14 369  4        98 99 ;8144 76200 27770 1 8   3     14 3649  4        988;8144 76200 27770 1 8   3     14 369  4         988;8144 76200 7770  1 8   3     14 369  4        988 ;814 7620  27770 1 8  3     14 369  4       98 99  
814 7620  27770 1 8  3     14 369  4        98 99 ;8144 76200 27770 1 8   3     14 3649  4        988;8144 76200 27770 1 8   3     14 369  4         988;8144 76200 7770  1 8   3     14 369  4        988 ;814  7620  273770 1 8  3     14 369  4     5   98 
8144 76200 27770 1 8   3     14 3649  4        988;8144 76200 27770 1 8   3     14 369  4         988;8144 76200 7770  1 8   3     14 369  4        988 ;814  7620  273770 1 8  3     14 369  4     5   98 ;8144 7600 27770 1 8   3     14  3649  4         98
8144 76200 27770 1 8   3     14 3649  4        988;8144 76200 27770 1 8   3     14 369  4         988;8144 7600 27770 1 8   3     14  3649  4         98;8144 76200 27770 1 8   3     14 3649  4        988
8144 76200 27770 1 8   3     14 3649  4        988;8144 76200 27770 1 8   3     14 369  4         988;8144 7600 27770 1 8   3     14  3649  4         98;8144 76200 27770 1 8   3     14 3649  4        988;8144 76200 27770 1 8   3     14 3649  4        981
8144 76200 27770 1 8   3     14 3649  4        988;8144 7600 27770 1 8   3     14  3649  4         98;8144 76200 27770 1 8   3     14 3649  4        988;8144 76200 27770 1 8   3     14 3649  4        981;8144 76200 27770  1 8   3     14  3649  4        9
8144 76200 27770 1 8   3     14 3649  4        988;8144 7600 27770 1 8   3     14  3649  4         98;8144 76200 27770 1 8   3     14 3649  4        981;8144 76200 27770  1 8   3     14  3649  4        9;8144 76200 27770 1 8   30     14 3649  4         9
